mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,zona_ocu,mayor_menor,tipo_veh,color_veh,modelo_veh,marca_veh,anio_ocu_file,tipo_eve,edad_grupo,fall_les,sexo_vic,int_o_noint,num_corre,anio_ocu_dataset,anio_ocu,edad_vic
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,126,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,127,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,25-29,lesionado,ignorado,ignorado,128,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,129,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,40-44,lesionado,ignorado,ignorado,130,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,131,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,40-44,lesionado,ignorado,ignorado,132,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,30-34,lesionado,ignorado,ignorado,133,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,35-39,lesionado,ignorado,ignorado,134,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,135,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,25-29,lesionado,ignorado,ignorado,136,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,137,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,138,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,139,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,55 y mas,lesionado,ignorado,ignorado,140,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,141,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,142,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,25-29,lesionado,ignorado,ignorado,143,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,55 y mas,lesionado,ignorado,ignorado,144,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,50-54,lesionado,ignorado,ignorado,145,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,146,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,147,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,148,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,50-54,lesionado,ignorado,ignorado,149,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,45-49,lesionado,ignorado,ignorado,150,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,151,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,152,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,153,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,154,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,155,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,156,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,157,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,158,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,55 y mas,lesionado,ignorado,ignorado,159,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,40-44,lesionado,ignorado,ignorado,160,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,161,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,25-29,fallecimiento,ignorado,ignorado,162,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,55 y mas,fallecimiento,ignorado,ignorado,163,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,fallecimiento,ignorado,ignorado,164,,2013,-1
enero,sabado,23,4,2,201,99,menor,camion,blanco,6,freedom,2013,colision,15-19,lesionado,ignorado,ignorado,165,,2013,-1
enero,sabado,23,4,2,201,99,mayor,camion,blanco,6,freedom,2013,colision,30-34,lesionado,ignorado,ignorado,166,,2013,-1
enero,sabado,16,3,18,1804,99,mayor,camioneta,gris,3,land rover,2013,colision,55 y mas,lesionado,ignorado,ignorado,167,,2013,-1
enero,sabado,16,3,18,1804,99,mayor,camioneta,gris,3,land rover,2013,colision,50-54,lesionado,ignorado,ignorado,168,,2013,-1
enero,sabado,16,3,18,1804,99,mayor,camioneta,gris,3,land rover,2013,colision,15-19,lesionado,ignorado,ignorado,169,,2013,-1
enero,sabado,16,3,18,1804,99,menor,camioneta,gris,3,land rover,2013,colision,15-19,lesionado,ignorado,ignorado,170,,2013,-1
enero,sabado,16,3,18,1804,99,mayor,camioneta,gris,3,land rover,2013,colision,50-54,lesionado,ignorado,ignorado,171,,2013,-1
enero,domingo,9,2,1,101,1,mayor,pick up,blanco,6,land rover,2013,colision,35-39,lesionado,ignorado,ignorado,172,,2013,-1
enero,domingo,9,2,1,101,1,mayor,pick up,blanco,6,land rover,2013,colision,35-39,lesionado,ignorado,ignorado,173,,2013,-1
enero,domingo,9,2,1,101,1,mayor,microbus,amarillo,6,jeep,2013,colision,20-24,lesionado,ignorado,ignorado,174,,2013,-1
enero,domingo,9,2,1,101,1,mayor,microbus,amarillo,6,jeep,2013,colision,30-34,lesionado,ignorado,ignorado,175,,2013,-1
enero,domingo,9,2,1,101,1,mayor,microbus,amarillo,6,jeep,2013,colision,50-54,lesionado,ignorado,ignorado,176,,2013,-1
enero,domingo,0,1,1,101,9,mayor,automovil,negro,6,italika,2013,choque,25-29,fallecimiento,ignorado,ignorado,177,,2013,-1
enero,domingo,8,2,19,1907,99,mayor,motocicleta,ignorado,6,kinlon,2013,vuelco,15-19,lesionado,ignorado,ignorado,178,,2013,-1
enero,domingo,8,2,19,1907,99,mayor,motocicleta,ignorado,6,kinlon,2013,vuelco,20-24,lesionado,ignorado,ignorado,179,,2013,-1
enero,domingo,11,2,5,501,99,mayor,motocicleta,rojo,6,kinlon,2013,colision,55 y mas,fallecimiento,ignorado,ignorado,180,,2013,-1
enero,domingo,19,4,10,1001,4,mayor,motocicleta,gris,4,jmc,2013,vuelco,20-24,lesionado,ignorado,ignorado,181,,2013,-1
enero,domingo,0,1,8,805,99,mayor,bus extraurbano,beige,6,jmc,2013,vuelco,15-19,lesionado,ignorado,ignorado,182,,2013,-1
enero,domingo,20,4,2,203,99,mayor,automovil,blanco,4,mahindra,2013,vuelco,25-29,lesionado,ignorado,ignorado,183,,2013,-1
